controller,zone,t0,t1,duration_s,n_samples,ey_rmse,ey_peak,ey_iae,epsi_rmse,epsi_peak,ev_rmse,ev_peak,eomega_rmse,eomega_peak,xy_rmse,xy_peak,F_rms,F_peak,F_sat595_pct,F_limit_hit_pct,omega_cmd_rms,omega_cmd_peak,omega_sat060_pct,omega_limit_hit_pct,viol_rate,j_du,dF_rms,domega_cmd_rms,solve_time_p50_ms,solve_time_p95_ms,solve_time_p99_ms,solve_time_max_ms,timeout_rate,theta_mae_deg,theta_peak_deg,theta_sched_mae_deg,theta_hat_step_p95_deg,theta_sched_step_p95_deg,main_acc_pct,turn_acc_pct,flat_false_slope_pct,slope_recall_pct,right_recall_pct,left_recall_pct,pred_main_1_pct,pred_main_2_pct,pred_main_3_pct,pred_turn_m1_pct,pred_turn_0_pct,pred_turn_1_pct
ModernTCN,all,0,52,52,5151,0.0376599158553922,0.10387850214626,1.14884713136075,0.0317757205506566,0.081851285585075,0.0663822453477951,0.157851761279854,0.0500431562167017,0.195755965557379,0.347437814712547,0.751763619937987,157.804225068851,320.162722614888,0,0,0.126619009912231,0.795612704929521,0.62123859444768,0,0,25.1040713844366,5.01037999908799,0.0127925437502603,0.0245243,0.044478975,0.049634804,2.1765604,0,0.817630164537665,2.83061126711799,0.928606875612803,0.0231204871631957,0.0318145015377174,95.9619491360901,78.9943700252378,7.49375520399667,97.0126582278481,59.7033374536465,58.3460949464012,23.8594447680062,0,76.1405552319938,10.3280916326927,71.7142302465541,17.9576781207533
ModernTCN,startup,0,4,4,400,0,0,0,0,0,0.178952846980931,0.82,0,0,0.241405022773163,0.253847969511388,129.348289733828,499.878946482204,0,0,4.23101001077012e-05,0.000240212214447144,0,0,0,61.3785613207726,7.8344470973211,7.04029036376833e-06,0.00980935,0.0439717,0.1773452,10.905047,0.25,0.030351391681234,0.132440937369981,0,0.00292901695406672,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
ModernTCN,uphill_left_transition,4,22,18,1800,0.0556982953890238,0.10387850214626,0.675008949619621,0.0257280175859664,0.0632432629752289,0.0445619411784194,0.1110592864642,0.065661176759069,0.193874043528721,0.266884045072335,0.418718306704971,197.850403243568,320.162722614888,0,0,0.167997761786028,0.795612704929521,1.77777777777778,0,0,6.74324551100725,2.59670402764316,0.0193314207707857,0.02610935,0.0418816,0.047971,0.057951,0,1.00496409850589,2.83061126711799,1.31430256538745,0.0176903109265464,0.0154983744338363,95.3333333333333,73.4444444444444,0,94.5945945945946,NaN,40.9147095179234,18.3333333333333,0,81.6666666666667,0,81.6111111111111,18.3888888888889
ModernTCN,downhill_right_transition,22,42,20,2000,0.0277909002114911,0.0654024133358527,0.362910610509489,0.0263973053644701,0.0775055415826834,0.0692246536402728,0.12567330118693,0.0431737195648455,0.195755965557379,0.255865010098355,0.48834556891449,154.491751213869,234.097825326082,0,0,0.110798062724551,0.544942387684811,0,0,0,15.8326636428509,3.97901847800896,0.00869451057139986,0.02344465,0.0323239,0.0421883,0.0533296,0,0.738128648061358,2.02013720013231,0.980771473830944,0.0283821970360182,0.0393512300287116,96.15,80.05,27.741935483871,98.1571815718157,59.7033374536465,NaN,7.3,0,92.7,26.6,72.2,1.2
ModernTCN,flat_left_exit,42,52,10,1000,0.0132808936986095,0.0338076581595104,0.11030414050356,0.0511439430029639,0.081851285585075,0.0964587077042427,0.157851761279854,0.0375556074550331,0.0754516211546098,0.5830693762162,0.751763619937987,96.9392484983495,162.943987533693,0,0,0.085014875803745,0.170415573079709,0,0,0,85.2547427972802,9.23334843941738,0.00440381527587075,0.0246871,0.04796135,0.05423795,0.0673277,0,0.913146030327036,1.86639809868973,0.455966310287764,0.0162973112281047,0.0490475703390984,95.3,79.5,10.467706013363,100,NaN,86.7203219315895,40.2,0,59.8,0,43,57
GRU,all,0,52,52,5151,0.0382759615269429,0.119934081122979,1.1656794221671,0.0474384153503353,0.162185835538708,0.0699568677889167,0.138557921488767,0.0309713422728217,0.193119552514064,0.545942477459082,1.1280519158659,157.025340384907,264.329102978605,0,0,0.0976960578838109,0.729485607799137,0.1941370607649,0,0,1.42166627065844,1.19231863893358,0.00652180266687374,0.0145997,0.02288089,0.025813909,0.4620858,0,0.305433696060907,2.20325925925926,0.383275573375246,0.0225369691489786,0.0226655675578014,92.195690157251,71.4230246554067,23.9800166527893,97.1139240506329,67.7379480840544,42.1898928024502,19.9378761405552,0,80.0621238594448,17.7635410599884,69.811687051058,12.4247718889536
GRU,startup,0,4,4,400,0,0,0,0,0,0.178952846980931,0.82,0,0,0.241405022773163,0.253847969511388,129.348289733828,499.878946482204,0,0,4.23101001077012e-05,0.000240212214447144,0,0,0,61.3785613207726,7.8344470973211,7.04029036376833e-06,0.017877,0.02436285,0.0351567,0.4620858,0,0,0,0,0,0,100,100,0,NaN,NaN,NaN,100,0,0,0,100,0
GRU,uphill_left_transition,4,22,18,1800,0.044917142733774,0.0908586856754854,0.538894448234563,0.0333251131499673,0.0696996983778945,0.0738573385770554,0.126820409718813,0.0301981861030353,0.160644853097597,0.311112388662559,0.641233541982768,197.762495515892,264.329102978605,0,0,0.0996488169167513,0.49695537848405,0,0,0,1.43298005063251,1.19705274384277,0.00669171809116039,0.02005555,0.02423155,0.02682215,0.037958,0,0.413308865541713,2.20325925925926,0.524694253391825,0.0186212484089323,0.0190868750683555,93.6666666666667,84.0555555555555,0,92.6640926640927,NaN,68.1087762669963,20,0,80,0,67.7777777777778,32.2222222222222
GRU,downhill_right_transition,22,42,20,2000,0.0427742157971457,0.119934081122979,0.498733816025917,0.0672799396007798,0.162185835538708,0.0777522943035187,0.110017531084822,0.0367944106328685,0.193119552514064,0.791228877024543,1.1280519158659,152.969879387826,215.804714818049,0,0,0.110828749551603,0.729485607799137,0.5,0,0,2.09960889470163,1.44897922374327,0.00825250640591886,0.0126665,0.0208659,0.0244883,0.0294793,0,0.262479801902957,0.906861665910088,0.417451142769162,0.0264951770186767,0.0242449229093937,92.25,80.55,100,100,67.7379480840544,NaN,0,0,100,30.8,66.2,3
GRU,flat_left_exit,42,52,10,1000,0.0159835816448355,0.036858080464901,0.127431461859136,0.0232277618222057,0.0439614790787828,0.0553488345130607,0.0883547366070444,0.0243260061450101,0.0597766890104251,0.294421210329948,0.397483031311451,95.564368054281,152.849840813875,0,0,0.0819995482175184,0.158486783094392,0,0,0,0.213515348762557,0.46207466429367,0.00153407315628861,0.0126664,0.01783615,0.0222101,0.0255007,0,0.304373406628735,0.835215589070016,0.194900191388352,0.0136283107071952,0.0119874011603418,86.7,20.4,29.6213808463252,100,NaN,0,31.6,0,68.4,29.9,70.1,0
