controller,path_name,seed,metric,n_rows,n_disturbance_levels,n_valid_levels,value_min,value_max,value_range,rel_range,invariant_flag,check_status
Mamba2,path_industrial,1,ey_rmse,2,2,2,0.0152300704407674,0.018344959516169,0.00311488907540168,0.00311488907540168,0,checked
Mamba2,path_industrial,1,epsi_rmse,2,2,2,0.0840897269077711,0.105161939840142,0.0210722129323713,0.0210722129323713,0,checked
Mamba2,path_industrial,1,ev_rmse,2,2,2,0.0450834987798593,0.0508886177874594,0.00580511900760014,0.00580511900760014,0,checked
Mamba2,path_industrial,1,eomega_rmse,2,2,2,0.0333811564260283,0.0384840091938865,0.00510285276785821,0.00510285276785821,0,checked
Mamba2,path_industrial,1,j_du,2,2,2,533772.944696622,983705.556790601,449932.612093979,0.593000311573465,0,checked
Mamba2,path_industrial,1,viol_rate,2,2,2,0,0.000535117056856187,0.000535117056856187,0.000535117056856187,0,flat_zero_ignored
Mamba2,path_industrial,2,ey_rmse,2,2,2,0.0168268072803885,0.0202145818383252,0.00338777455793663,0.00338777455793663,0,checked
Mamba2,path_industrial,2,epsi_rmse,2,2,2,0.0884220298342841,0.108888873173859,0.0204668433395748,0.0204668433395748,0,checked
Mamba2,path_industrial,2,ev_rmse,2,2,2,0.0473328393191792,0.0528211426243703,0.00548830330519107,0.00548830330519107,0,checked
Mamba2,path_industrial,2,eomega_rmse,2,2,2,0.035437448175807,0.0414930468809029,0.00605559870509585,0.00605559870509585,0,checked
Mamba2,path_industrial,2,j_du,2,2,2,677585.385749639,1704657.96777223,1027072.58202259,0.862273436930095,0,checked
Mamba2,path_industrial,2,viol_rate,2,2,2,6.68896321070234e-05,0.00167224080267559,0.00160535117056856,0.00160535117056856,0,checked
Mamba2,path_s_curve,1,ey_rmse,2,2,2,0.0451775540138098,0.0452582024387256,8.06484249157857e-05,8.06484249157857e-05,0,checked
Mamba2,path_s_curve,1,epsi_rmse,2,2,2,0.0528431432127574,0.056931277704845,0.00408813449208764,0.00408813449208764,0,checked
Mamba2,path_s_curve,1,ev_rmse,2,2,2,0.00991552927436663,0.0110092407845809,0.0010937115102143,0.0010937115102143,0,checked
Mamba2,path_s_curve,1,eomega_rmse,2,2,2,0.050244690139905,0.052307023668987,0.00206233352908193,0.00206233352908193,0,checked
Mamba2,path_s_curve,1,j_du,2,2,2,17621.6614784976,18254.7812537664,633.119775268791,0.035294456587772,0,checked
Mamba2,path_s_curve,1,viol_rate,2,2,2,0,0,0,0,0,flat_zero_ignored
Mamba2,path_s_curve,2,ey_rmse,2,2,2,0.0451661581072436,0.0451761894752892,1.00313680456016e-05,1.00313680456016e-05,0,checked
Mamba2,path_s_curve,2,epsi_rmse,2,2,2,0.0533191868010288,0.0574179805298226,0.00409879372879376,0.00409879372879376,0,checked
Mamba2,path_s_curve,2,ev_rmse,2,2,2,0.00941831182982122,0.010698945221879,0.00128063339205782,0.00128063339205782,0,checked
Mamba2,path_s_curve,2,eomega_rmse,2,2,2,0.0506562714334314,0.0526653647416187,0.00200909330818739,0.00200909330818739,0,checked
Mamba2,path_s_curve,2,j_du,2,2,2,13246.621149295,16073.500294297,2826.87914500203,0.19282861092104,0,checked
Mamba2,path_s_curve,2,viol_rate,2,2,2,0,0,0,0,0,flat_zero_ignored
